Учетные номера автомобильных дорог;Наименование автомобильных дорог;Идентификационные номера автомобильных дорог;Учетные номера автомобильных дорог, которые могут применяться до 31 декабря 2017 г. включительно;Наименования автомобильных дорог, которые могут применяться до 31 декабря 2017 г. включительно
М-1;"""Беларусь"" Москва - граница с Республикой Белоруссия ";00 ОП ФЗ М-1 (Е30, АН6, СНГ) ;М-1;"""Беларусь"" - от Москвы до границы с Республикой Беларусь (на Минск, на Брест); строящийся новый выход на Московскую кольцевую автомобильную дорогу с федеральной автомобильной дороги М-1 ""Беларусь"" - от Москвы до границы с Республикой Беларусь (на Минск, на Брест) (Московская область); строящаяся Молодогвардейская транспортная развязка; строящаяся подъездная автомобильная дорога от 1-го Успенского шоссе до нового выхода на Московскую кольцевую автомобильную дорогу с федеральной автомобильной дороги М-1 ""Беларусь"" - от Москвы до границы с Республикой Беларусь (на Минск, на Брест) (Московская область); строящаяся транспортная развязка на пересечении Подушкинского шоссе со строящимся новым выходом на Московскую кольцевую автомобильную дорогу с федеральной автомобильной дороги М-1 ""Беларусь"" - от Москвы до границы с Республикой Беларусь (на Минск, на Брест) (Московская область)."
М-2;"""Крым"" Москва - Тула - Орел - Курск - Белгород - граница с Украиной ";00 ОП ФЗ М-2 (Е105, СНГ);М-2;"""Крым"" - от Москвы через Тулу, Орел, Курск, Белгород до границы с Украиной (на Харьков, Днепропетровск, Симферополь); Подъезды к городам Тула, Орел, Курск, Белгород; Подъезд к историко-архитектурному комплексу ""Одинцово""."
М-3;"""Украина"" Москва - Калуга - Брянск - граница с Украиной";00 ОП ФЗ М-3 (Е101, СНГ) ;М-3;"""Украина"" - от Москвы через Калугу, Брянск до границы с Украиной (на Киев) подъезды к городам Калуга, Брянск "
М-4;"""Дон"" Москва - Воронеж - Ростов-на-Дону - Краснодар - Новороссийск ";00 ОП ФЗ М-4 (Е50, Е97, Е115, Е592, СНГ) ;М-4;"""Дон"" - от Москвы через Воронеж, Ростов-на-Дону, Краснодар до Новороссийска "
М-5;"""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск ";00 ОП ФЗ М-5 (Е30, АН6, АН7, СНГ) ;М-5;"""Урал"" - от Москвы через Рязань, Пензу, Самару, Уфу до Челябинска; подъезды к городам Рязань, Саранск, Пенза, Ульяновск, Самара, Оренбург, Уфа, Екатеринбург"
М-7;"""Волга"" Москва - Владимир - Нижний Новгород - Казань - Уфа ";00 ОП ФЗ М-7 (Е017, Е22, СНГ) ;М-7;"""Волга"" - от Москвы через Владимир, Нижний Новгород, Казань до Уфы; подъезды к городам Владимир, Иваново, Чебоксары, Ижевск и Пермь  "
М-8;"""Холмогоры"" Москва - Ярославль - Вологда - Архангельск ";00 ОП ФЗ М-8 (Е115, СНГ) ;М-8;"""Холмогоры"" - от Москвы через Ярославль, Вологду до Архангельска; подъезды к городам Кострома, Северодвинск; обход города Переславль-Залесский "
М-9;"""Балтия"" Москва - Волоколамск - граница с Латвийской Республикой ";00 ОП ФЗ М-9 (Е22, СНГ) ;М-9;"""Балтия"" - от Москвы через Волоколамск до границы с Латвийской Республикой (на Ригу) "
М-10;"""Россия"" Москва - Тверь - Великий Новгород - Санкт-Петербург ";00 ОП ФЗ М-10 (Е105, АН8, СНГ) ;М-10;"""Россия"" - от Москвы через Тверь, Новгород до Санкт-Петербурга; подъезды к городам Тверь, Новгород "
М-11;строящаяся скоростная автомобильная дорога Москва - Санкт-Петербург ;00 ОП ФЗ М-11 ;-;"строящаяся скоростная автомобильная дорога Москва - Санкт-Петербург; строящаяся Бусиновская транспортная развязка; строящийся подъезд от федеральной автомобильной дороги М-10 ""Россия"" - от Москвы через Тверь, Новгород до Санкт-Петербурга в районе Зеленограда к строящейся скоростной автомобильной дороге Москва - Санкт-Петербург (Московская область); строящаяся транспортная развязка на пересечении федеральной автомобильной дороги ""Московское малое кольцо"" через Икшу, Ногинск, Бронницы, Голицыно, Истру на участке от Ленинградского шоссе до Дмитровского шоссе со строящейся скоростной автомобильной дорогой Москва - Санкт-Петербург (Московская область) "
